,#Rank,University,Town
594,595,Manipur Technical University,Imphal
595,596,Sri Balaji Vidyapeeth,Puducherry
596,597,"Rani Channamma University, Belagavi",Belagavi
597,598,Swami Rama Himalayan University,Dehradun
598,599,West Bengal University of Animal and Fishery Sciences,Kolkata
599,600,Mother Teresa Women's University,Kodaikanal
600,601,Harcourt Butler Technical University,Kanpur
601,602,"Indian Institute of Information Technology, Guwahati",Guwahati
602,603,Aliah University,Kolkata
603,604,"International Institute of Information Technology, Bhubaneswar",Bhubaneswar
604,605,MGM Institute of Health Sciences,Navi Mumbai
605,606,Karpagam Academy of Higher Education,Coimbatore
606,607,"National Institute of Pharmaceutical Education and Research, Hyderabad",Hyderabad
607,608,Glocal University,Saharanpur
608,609,North Orissa University,Baripada
609,610,Dravidian University,Kuppam
610,611,P P Savani University,Kosamba
611,612,"ICFAI University, Dehradun",Dehradun
612,613,Swami Keshwanand Rajasthan Agricultural University,Bikaner
613,614,Jawaharlal Nehru Architecture and Fine Arts University,Hyderabad
614,615,Maharashtra Animal and Fishery Sciences University,Nagpur
615,616,St. Xavier's University,Kolkata
616,617,Tamil Nadu Dr. J. Jayalalithaa Fisheries University,Nagapattinam ...
617,618,Sher-i-Kashmir Institute of Medical Sciences,Srinagar
618,619,Indian Institute of Teacher Education,Gandhinagar
619,620,Rai University,Ahmedabad
620,621,Lakshmibai National Institute of Physical Education,Gwalior
621,622,Shri Guru Ram Rai University,Dehradun
622,623,MIT Art Design and Technology University,Pune
623,624,Kannada University,Vidyaranya
624,625,"Chitkara University, Himachal Pradesh",Kalujhanda
625,626,Veer Kunwar Singh University,Arrah
626,627,Sri Padmavati Mahila Visvavidyalayam,Tirupati
627,628,"Institute of Infrastructure, Technology, Research and Management",Ahmedabad
628,629,Arunachal University of Studies,Namsai
629,630,Sir Padampat Singhania University,Udaipur
630,631,"Karnataka Veterinary, Animal and Fisheries Sciences University",Bidar
631,632,JIS University,Agarpara
632,633,Damodaram Sanjivayya National Law University,Visakhapatnam ...
633,634,West Bengal State University,Barasat
634,635,BLDE University,Bijapur
635,636,Ajeenkya D.Y. Patil University,Pune
636,637,Maharashtra National Law University Mumbai,Mumbai
637,638,LNCT University,Bhopal
638,639,"Indian Institute of Information Technology, Manipur",Imphal
639,640,Ponnaiyan Ramajayam Institute of Science and Technology,Thanjavur
640,641,Navrachana University,Vadodara
641,642,Rayat-Bahra University,Kharar
642,643,Maharshi Panini Sanskrit Vishwavidyalaya,Ujjain
643,644,Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Katni ...
644,645,Techno India University,Kolkata
645,646,Datta Meghe Institute of Higher Education & Research,Nagpur
646,647,Maharaja Bir Bikram University,Agartala
647,648,Sri Guru Granth Sahib World University,Fatehgarh Sahib
648,649,Chaudhary Ranbir Singh University,Jind
649,650,"Indian Institute of Information Technology, Una",Una
650,651,Maharaja Ranjit Singh Punjab Technical University,Bathinda
651,652,"National Institute of Pharmaceutical Education and Research, Guwahati",Guwahati
652,653,"West Bengal University of Teachers' Training, Education Planning and Administration",Kolkata
653,654,Uka Tarsadia University,Bardoli ...
654,655,Ayush and Health Sciences University of Chhattisgarh,Raipur
655,656,Monad University,Hapur
656,657,Dr. B.R. Ambedkar University,Etcherla
657,658,Jagannath University,Jaipur
658,659,"University of Science and Technology, Meghalaya",Baridua
659,660,Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,Chitrakoot
660,661,Dr. Y.S.R. Horticultural University,Tadepalligudem
661,662,Dakshina Bharat Hindi Prachar Sabha,Chennai
662,663,Srinivas University,Mangalore
663,664,Bhupendra Narayan Mandal University,Madhepura
664,665,"National Institute of Pharmaceutical Education and Research, Ahmedabad",Ahmedabad
665,666,Bhagat Phool Singh Mahila Vishwavidyalaya,Khanpur Kalan
666,667,Maharaja Surajmal Brij University,Bharatpur
667,668,AURO University,Surat
668,669,Gondwana University,Gadchiroli
669,670,"National Institute of Pharmaceutical Education and Research, Raebareli",Rae Bareli
670,671,Thunchath Ezhuthachan Malayalam University,Tirur
671,672,ISBM University,Gariyaband
672,673,"International Institute of Information Technology, Naya Raipur",Naya Raipur
673,674,Gangadhar Meher University,Sambalpur
674,675,Institute of Advanced Studies in Education,Sardarshahr
675,676,Veer Chandra Singh Garhwali Uttarakhand University of Horticulture & Forestry,Bharsar
676,677,"Indian Institute of Information Technology, Pune",Pune
677,678,Santosh University,Ghaziabad
678,679,St. Peter's Institute of Higher Education and Research,Chennai
679,680,Himgiri ZEE University,Dehradun
680,681,Dr. C.V. Raman University,Bilaspur
681,682,University of Technology,Jaipur
682,683,IEC University,Kalujhanda
683,684,Satavahana University,Karimnagar
684,685,Al-Falah University,Faridabad
685,686,Banda University of Agriculture and Technology,Banda
686,687,IMS Unison University,Dehradun
687,688,Garden City University,Bangalore
688,689,Bankura University,Bankura
689,690,Rani Lakshmi Bai Central Agricultural University,Jhansi
690,691,Maharaja Chhatrasal Bundelkhand University,Chhatarpur
691,692,Central University of Andhra Pradesh,Anantapur
692,693,Tamil Nadu Physical Education and Sports University,Chennai
693,694,Tamil Nadu National Law University,Tiruchirappalli
694,695,Chhattisgarh Kamdhenu Vishwavidyalaya,Raipur
695,696,University of Trans-Disciplinary Health Sciences and Technology,Bangalore
696,697,Bhartiya Skill Development University,Jaipur
697,698,O.P. Jindal University,Raigarh
698,699,Shaheed Mahendra Karma Vishwavidyalaya,Bastar
699,700,Delhi Pharmaceutical Sciences and Research University,New Delhi
700,701,OPJS University,Churu
701,702,RIMT University,Mandi Gobindgarh ...
702,703,ITM Vocational University,Waghodia
703,704,Krantiguru Shyamji Krishna Verma Kachchh University,Bhuj
704,705,GNA University,Phagwara
705,706,Indus University,Ahmedabad
706,707,Dr K.N. Modi University,Newai
707,708,Govind Guru Tribal University,Banswara
708,709,Martin Luther Christian University,Shillong
709,710,Sri Siddhartha Academy of Higher Education,Tumkur
710,711,Davangere University,Davangere
711,712,Desh Bhagat University,Mandi Gobindgarh
712,713,Maharaja Agrasen Himalayan Garhwal University,Pokhara Village
713,714,"National Institute of Pharmaceutical Education and Research, Kolkata",Kolkata
714,715,"Indian Institute of Information Technology, Kalyani",Kalyani
715,716,Sardar Vallabhbhai Patel University of Agriculture and Technology,Meerut
716,717,MATS University,Aarang
717,718,Uttarakhand Ayurved University,Dehradun
718,719,Jayoti Vidyapeeth Women's University,Jaipur
719,720,Mahatma Jyoti Rao Phoole University,Jaipur
720,721,Kadi Sarva Vishwavidyalaya,Gandhinagar
721,722,U.P. Pt. Deen Dayal Upadhyaya Veterinary Science University and Cattle Research Institute,Mathura
722,723,Raiganj University,Raiganj
723,724,"University of Agricultural and Horticultural Sciences, Shivamogga",Shimoga
724,725,Raja Mansingh Tomar Music and Arts University,Gwalior
725,726,Karnataka Samskrit University,Bangalore
726,727,Hemwati Nandan Bahuguna Uttarakhand Medical Education University,Dehradun
727,728,EIILM University,Jorethang
728,729,Nilamber-Pitamber University,Medininagar
729,730,Dr. B.R. Ambedkar University of Social Sciences,Indore
730,731,JS University,Shikohabad
731,732,Suamandeep Vidyapeeth,Vadodara
732,733,"University of Horticultural Sciences, Bagalkot",Bagalkot ...
733,734,"Sardar Patel University of Police, Security and Criminal Justice",Jodhpur
734,735,Maharishi University of Management and Technology,Bilaspur ...
735,736,GSFC University,Vadodara
